Timestamp,Price,stock_volume,amount_volume
2020/9/4,4.78,30252235,140631756
2020/9/3,4.71,24929765,118515883
2020/9/2,4.86,47781484,235731767
2020/9/1,4.79,25594116,120569621
2020/8/31,4.76,29165632,139313774
2020/8/28,4.71,31846089,149263400
2020/8/27,4.76,52528389,246360986
2020/8/26,4.73,97519036,475223096
2020/8/25,5.26,35323587,187365500
2020/8/24,5.4,38910314,210541353
2020/8/21,5.3,28573486,151192465
2020/8/20,5.26,36282425,193359097
2020/8/19,5.29,42460709,226671325
2020/8/18,5.41,59275453,319447067
2020/8/17,5.26,48962766,257331626
2020/8/14,5.27,51775587,272412937
2020/8/13,5.4,50347819,276567139
2020/8/12,5.47,73366128,385720436
2020/8/11,5.34,93470274,511738586
2020/8/10,5.38,144911368,808200065
2020/8/7,5.84,166938747,940550989
2020/8/6,5.34,131790034,715432434
2020/8/5,5.41,119329651,626153765
2020/8/4,4.92,79345248,392860619
2020/8/3,4.8,79977824,384872551
2020/7/31,4.6,67224683,306961738
2020/7/30,4.52,94786142,429120509
2020/7/29,4.27,35065729,148725467
2020/7/28,4.21,34333335,145288044
2020/7/27,4.21,44761371,184490242
2020/7/24,4.1,49949327,207402394
2020/7/23,4.24,56941207,239081948
2020/7/22,4.21,88989967,379602532
2020/7/21,4.28,135234019,587699224
2020/7/20,4.07,71276886,285465211
2020/7/17,3.76,30139890,112925268
2020/7/16,3.75,63930533,247251570
2020/7/15,3.88,53845962,212281977
2020/7/14,4.05,73351830,298465027
2020/7/13,3.96,50636812,201300457
2020/7/10,3.89,97078698,378516745
2020/7/9,3.92,136051189,531162897
2020/7/8,3.62,35061774,126226783
2020/7/7,3.56,51601444,185294371
2020/7/6,3.55,50812837,179114807
2020/7/3,3.41,26684591,90836826
2020/7/2,3.36,19156388,64134493
2020/7/1,3.35,26570487,88780151
2020/6/30,3.29,11414056,37344795
2020/6/29,3.23,9497787,30836121
2020/6/24,3.25,11661904,37984618
2020/6/23,3.29,8573147,28201239
2020/6/22,3.3,9243351,30544014
2020/6/19,3.3,10121658,33361798
2020/6/18,3.31,9377882,31076262
2020/6/17,3.34,14309462,47495002
2020/6/16,3.32,8538318,28212499
2020/6/15,3.27,10024531,33013923
2020/6/12,3.3,11379804,37470987
2020/6/11,3.31,10043232,33358703
2020/6/10,3.34,8265778,27473633
2020/6/9,3.34,9986500,33369828
2020/6/8,3.36,12293818,41369534
2020/6/5,3.37,11292033,37963632
2020/6/4,3.39,16091809,54756568
2020/6/3,3.38,23294090,79623864
2020/6/2,3.46,43128505,146740757
2020/6/1,3.42,59549172,196570575
2020/5/29,3.31,11111190,36848027
2020/5/28,3.33,12889030,42903708
2020/5/27,3.35,9541842,32055961
2020/5/26,3.36,11875596,39777480
2020/5/25,3.32,13550983,45284101
2020/5/22,3.36,22196759,75606914
2020/5/21,3.48,21599217,76111793
2020/5/20,3.53,29591017,105403798
2020/5/19,3.56,42954386,152991122
2020/5/18,3.48,31512541,109641527
2020/5/15,3.4,16385100,55599973
2020/5/14,3.33,12411109,41581932
2020/5/13,3.36,11983470,40359152
2020/5/12,3.35,19248794,64933720
2020/5/11,3.44,23535637,81715531
2020/5/8,3.53,21535843,76001115
2020/5/7,3.5,29308864,103355205
2020/5/6,3.58,33921467,120028265
2020/4/30,3.54,38672556,136562076
2020/4/29,3.49,41135899,144838688
2020/4/28,3.44,26371978,88895976
2020/4/27,3.44,24782018,87152750
2020/4/24,3.5,33637484,117489920
2020/4/23,3.42,16561430,56908743
2020/4/22,3.47,28889839,100057983
2020/4/21,3.41,25896772,87727284
2020/4/20,3.34,11036131,36869635
2020/4/17,3.31,11700080,39031795
2020/4/16,3.33,11476315,38079356
2020/4/15,3.32,19079676,63665296
2020/4/14,3.39,21241640,72361891
2020/4/13,3.35,23731602,79048329
2020/4/10,3.4,81496444,282718110
2020/4/9,3.66,78858346,281212394
2020/4/8,3.33,18972723,63072776
2020/4/7,3.31,24096696,80094076
2020/4/3,3.21,10714437,34673174
2020/4/2,3.3,17068427,55525679
2020/4/1,3.16,6570292,20804696
2020/3/31,3.14,8208795,25919411
2020/3/30,3.16,12892286,40806339
2020/3/27,3.25,11908290,39078632
2020/3/26,3.28,13296207,43975013
2020/3/25,3.36,21550726,72595360
2020/3/24,3.35,37049236,122922320
2020/3/23,3.17,14898609,47545724
2020/3/20,3.25,11375529,36797491
2020/3/19,3.22,14478023,46387401
2020/3/18,3.23,14276735,47006677
2020/3/17,3.29,17058003,55222276
2020/3/16,3.25,20901628,69913174
2020/3/13,3.37,22230099,73739417
2020/3/12,3.4,21083001,71984507
2020/3/11,3.49,28537321,100778001
2020/3/10,3.5,28521284,97536266
2020/3/9,3.42,31550954,108982810
2020/3/6,3.5,30259683,106229846
2020/3/5,3.52,33036206,116836389
2020/3/4,3.51,39120824,138497597
2020/3/3,3.61,50880030,185873314
2020/3/2,3.55,40262091,141744506
2020/2/28,3.42,88505119,308257299
2020/2/27,3.76,141137418,548093898
2020/2/26,4.1,190384296,769722838
2020/2/25,3.73,75863760,277881483
2020/2/24,3.7,76565796,279551714
2020/2/21,3.46,45546946,157170045
2020/2/20,3.44,58185894,194115531
2020/2/19,3.37,61104119,209709168
2020/2/18,3.33,58366438,189250987
2020/2/17,3.13,39233281,121479885
2020/2/14,3.07,15358433,46974963
2020/2/13,3.05,14097001,43088499
2020/2/12,3.08,24779116,76018174
2020/2/11,3.03,18834088,57518048
2020/2/10,3.09,15470999,47732395
2020/2/7,3.09,23438246,72045900
2020/2/6,3.06,16635260,50631609
2020/2/5,3.03,14011316,42499966
2020/2/4,2.97,25055009,73254995
2020/2/3,3.09,4394900,13580241
2020/1/23,3.43,17826158,60094217
2020/1/22,3.43,14441817,49140991
2020/1/21,3.42,26768785,92392166
2020/1/20,3.61,11372269,40831339
2020/1/17,3.62,10879937,39377544
2020/1/16,3.62,24883788,90275284
2020/1/15,3.71,18932233,70127194
2020/1/14,3.73,15717531,58789379
2020/1/13,3.76,23213643,87321340
2020/1/10,3.75,25369822,94841429
2020/1/9,3.77,43954533,165039703
2020/1/8,3.64,16611346,60912899
2020/1/7,3.68,15086137,55318517
2020/1/6,3.63,20354820,73987109
2020/1/3,3.68,13700174,50416501
2020/1/2,3.69,14526021,53718632
2019/12/31,3.66,12377441,45221956
2019/12/30,3.65,15809727,57732069
2019/12/27,3.68,19490633,72448517
2019/12/26,3.7,16779140,61697891
2019/12/25,3.69,19852044,73459669
2019/12/24,3.65,17983566,65826579
2019/12/23,3.6,25232394,92369216
2019/12/20,3.74,28950587,109153159
2019/12/19,3.75,44327537,165765792
2019/12/18,3.75,76212659,282997213
2019/12/17,3.58,34481083,122207818
2019/12/16,3.52,25631310,89739857
2019/12/13,3.46,15695712,54124207
2019/12/12,3.45,13238576,45944778
2019/12/11,3.49,16456135,57556859
2019/12/10,3.52,23532663,82525486
2019/12/9,3.52,32933153,115048722
2019/12/6,3.44,18286845,62407223
2019/12/5,3.42,28112714,95564441
2019/12/4,3.41,54909985,189559970
2019/12/3,3.58,77524678,275804077
2019/12/2,3.28,4751121,15646394
2019/11/29,3.28,3963640,12946950
2019/11/28,3.25,4998808,16302359
2019/11/27,3.27,6006589,19758641
2019/11/26,3.3,7295582,24088284
2019/11/25,3.32,12979791,43147861
2019/11/22,3.3,10674037,35468101
2019/11/21,3.36,6326993,21209039
2019/11/20,3.37,8565661,28997834
2019/11/19,3.43,16616159,56771023
2019/11/18,3.36,17771072,59941196
2019/11/15,3.31,11514175,38548471
2019/11/14,3.31,14773643,48716810
2019/11/13,3.24,5070663,16529529
2019/11/12,3.29,5507533,17986626
2019/11/11,3.24,9349540,30503027
2019/11/8,3.25,4642318,15150876
2019/11/7,3.26,4731783,15422003
2019/11/6,3.27,4313734,14139390
2019/11/5,3.3,6013679,19798588
2019/11/4,3.29,6047166,20048346
2019/11/1,3.3,5068005,16705826
2019/10/31,3.28,6565180,21738586
2019/10/30,3.32,8541065,28472394
2019/10/29,3.38,8616304,29352330
2019/10/28,3.43,11954344,40844327
2019/10/25,3.33,6078896,20080617
2019/10/24,3.3,7524348,24881202
2019/10/23,3.35,6569601,22083329
2019/10/22,3.41,7688357,25986749
2019/10/21,3.39,6485274,22046288
2019/10/18,3.41,7436607,25706944
2019/10/17,3.46,8487300,29774867
2019/10/16,3.58,14315097,51128411
2019/10/15,3.63,13287520,47546440
2019/10/14,3.55,7604796,27012620
2019/10/11,3.5,8334573,29058955
2019/10/10,3.46,5647294,19538103
2019/10/9,3.46,5966527,20629466
2019/10/8,3.48,7099303,24546071
2019/9/30,3.48,9594537,33400548
2019/9/27,3.46,9719036,33670897
2019/9/26,3.41,13235713,45997996
2019/9/25,3.54,17448290,62456934
2019/9/24,3.66,18159915,66766593
2019/9/23,3.71,20088624,74385978
2019/9/20,3.78,36729903,138173396
2019/9/19,3.68,19355051,70379703
2019/9/18,3.57,13877111,49873134
2019/9/17,3.63,24337602,89008863
2019/9/16,3.78,43486054,163280413
2019/9/12,3.68,15475276,56926335
2019/9/11,3.66,23033896,84393431
2019/9/10,3.65,21786745,79472218
2019/9/9,3.67,31500142,114623064
